,title,authors,date,keywords,abstract,title_url,url_authors,data_index
24,Bispectrum-based Cross-frequency Functional Connectivity: Classification of Alzheimer's disease,"Dominik Klepl, Fei He, Min Wu, Daniel J. Blackburn, Ptolemaios G. Sarrigiannis",08-Sep-22,"['Couplings', 'Electroencephalography', 'Biology', 'Frequency measurement', 'Recording', ""Alzheimer's disease"", 'Spectral analysis']","Alzheimer’s disease (AD) is a neurodegenerative disease known to affect brain functional connectivity (FC). Linear FC measures have been applied to study the differences in AD by splitting neurophysiological signals such as electroencephalography (EEG) recordings into discrete frequencybands and analysing them in isolation. We address this limitation by quantifying cross-frequency FC in addition to the traditional within-band approach. Cross-bispectrum, a higher-order spectral analysis, is used to measure the nonlinear FC and is compared with the cross-spectrum, which only measures the linear FC within bands. Each frequency coupling is then used to construct an FC network, which is in turn vectorised and used to train a classifier. We show that fusing features from networks improves classification accuracy. Although both within-frequency and cross-frequency networks can be used to predict AD with high accuracy, our results show that bispectrum-based FC outperforms cross-spectrum suggesting an important role of cross-frequency FC.",https://pureportal.coventry.ac.uk/en/publications/bispectrum-based-cross-frequency-functional-connectivity-classifi,"['https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'https://pureportal.coventry.ac.uk/en/persons/fei-he', None, None, None]","['bispectrum', 'base', 'cross', 'frequenc', 'function', 'connect', 'classif', 'alzheim', 'diseas', 'dominik', 'klepl', 'fei', 'min', 'wu', 'daniel', 'j', 'blackburn', 'ptolemaio', 'g', 'sarrigianni', 'alzheim', 'diseas', 'ad', 'neurodegen', 'diseas', 'known', 'affect', 'brain', 'function', 'connect', 'fc', 'linear', 'fc', 'measur', 'appli', 'studi', 'differ', 'ad', 'split', 'neurophysiolog', 'signal', 'electroencephalographi', 'eeg', 'record', 'discret', 'frequencyband', 'analys', 'isol', 'address', 'limit', 'quantifi', 'cross', 'frequenc', 'fc', 'addit', 'tradit', 'within', 'band', 'approach', 'cross', 'bispectrum', 'higher', 'order', 'spectral', 'analysi', 'use', 'measur', 'nonlinear', 'fc', 'compar', 'cross', 'spectrum', 'measur', 'linear', 'fc', 'within', 'band', 'frequenc', 'coupl', 'use', 'construct', 'fc', 'network', 'turn', 'vectoris', 'use', 'train', 'classifi', 'show', 'fuse', 'featur', 'network', 'improv', 'classif', 'accuraci', 'although', 'within', 'frequenc', 'cross', 'frequenc', 'network', 'use', 'predict', 'ad', 'high', 'accuraci', 'result', 'show', 'bispectrum', 'base', 'fc', 'outperform', 'cross', 'spectrum', 'suggest', 'import', 'role', 'cross', 'frequenc', 'fc', 'coupl', 'electroencephalographi', 'biolog', 'frequenc', 'measur', 'record', 'alzheim', 'diseas', 'spectral', 'analysi']"
25,Brain Tumor Classification Using a Combination of Variational Autoencoders and Generative Adversarial Networks,"Bilal Ahmad, Jun Sun, Qi You, Vasile Palade, Zhongjie Mao",21-Jan-22,"['Brain tumor classification', 'Cancer classification', 'Convolutional neural networks', 'Deep learning', 'Generative adversarial networks', 'Glioma', 'Meningioma', 'MRI', 'PET', 'Pituitary', 'Radiolabeled PET', 'Variational autoencoder']","Brain tumors are a pernicious cancer with one of the lowest five-year survival rates. Neurologists often use magnetic resonance imaging (MRI) to diagnose the type of brain tumor. Automated computer-assisted tools can help them speed up the diagnosis process and reduce the burden on the health care systems. Recent advances in deep learning for medical imaging have shown remarkable results, especially in the automatic and instant diagnosis of various cancers. However, we need a large amount of data (images) to train the deep learning models in order to obtain good results. Large public datasets are rare in medicine. This paper proposes a framework based on unsupervised deep generative neural networks to solve this limitation. We combine two generative models in the proposed framework: Variational autoencoders (VAEs) and generative adversarial networks (GANs). We swap the encoder–decoder network after initially training it on the training set of available MR images. The output of this swapped network is a noise vector that has information of the image manifold, and the cascaded generative adversarial network samples the input from this informative noise vector instead of random Gaussian noise. The proposed method helps the GAN to avoid mode collapse and generate realistic-looking brain tumor magnetic resonance images. These artificially generated images could solve the limitation of small medical datasets up to a reasonable extent and help the deep learning models perform acceptably. We used the ResNet50 as a classifier, and the artificially generated brain tumor images are used to augment the real and available images during the classifier training. We compared the classification results with several existing studies and state-of-the-art machine learning models. Our proposed methodology noticeably achieved better results. By using brain tumor images generated artificially by our proposed method, the classification average accuracy improved from 72.63% to 96.25%. For the most severe class of brain tumor, glioma, we achieved 0.769, 0.837, 0.833, and 0.80 values for recall, specificity, precision, and F1-score, respectively. The proposed generative model framework could be used to generate medical images in any domain, including PET (positron emission tomography) and MRI scans of various parts of the body, and the results show that it could be a useful clinical tool for medical experts.",https://pureportal.coventry.ac.uk/en/publications/brain-tumor-classification-using-a-combination-of-variational-aut,"[None, None, None, 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade', None]","['brain', 'tumor', 'classif', 'use', 'combin', 'variat', 'autoencod', 'gener', 'adversari', 'network', 'bilal', 'ahmad', 'jun', 'sun', 'qi', 'vasil', 'palad', 'zhongji', 'mao', 'brain', 'tumor', 'pernici', 'cancer', 'one', 'lowest', 'five', 'year', 'surviv', 'rate', 'neurologist', 'often', 'use', 'magnet', 'reson', 'imag', 'mri', 'diagnos', 'type', 'brain', 'tumor', 'autom', 'comput', 'assist', 'tool', 'help', 'speed', 'diagnosi', 'process', 'reduc', 'burden', 'health', 'care', 'system', 'recent', 'advanc', 'deep', 'learn', 'medic', 'imag', 'shown', 'remark', 'result', 'especi', 'automat', 'instant', 'diagnosi', 'variou', 'cancer', 'howev', 'need', 'larg', 'amount', 'data', 'imag', 'train', 'deep', 'learn', 'model', 'order', 'obtain', 'good', 'result', 'larg', 'public', 'dataset', 'rare', 'medicin', 'paper', 'propos', 'framework', 'base', 'unsupervis', 'deep', 'gener', 'neural', 'network', 'solv', 'limit', 'combin', 'two', 'gener', 'model', 'propos', 'framework', 'variat', 'autoencod', 'vae', 'gener', 'adversari', 'network', 'gan', 'swap', 'encod', 'decod', 'network', 'initi', 'train', 'train', 'set', 'avail', 'mr', 'imag', 'output', 'swap', 'network', 'nois', 'vector', 'inform', 'imag', 'manifold', 'cascad', 'gener', 'adversari', 'network', 'sampl', 'input', 'inform', 'nois', 'vector', 'instead', 'random', 'gaussian', 'nois', 'propos', 'method', 'help', 'gan', 'avoid', 'mode', 'collaps', 'gener', 'realist', 'look', 'brain', 'tumor', 'magnet', 'reson', 'imag', 'artifici', 'gener', 'imag', 'could', 'solv', 'limit', 'small', 'medic', 'dataset', 'reason', 'extent', 'help', 'deep', 'learn', 'model', 'perform', 'accept', 'use', 'resnet50', 'classifi', 'artifici', 'gener', 'brain', 'tumor', 'imag', 'use', 'augment', 'real', 'avail', 'imag', 'classifi', 'train', 'compar', 'classif', 'result', 'sever', 'exist', 'studi', 'state', 'art', 'machin', 'learn', 'model', 'propos', 'methodolog', 'notic', 'achiev', 'better', 'result', 'use', 'brain', 'tumor', 'imag', 'gener', 'artifici', 'propos', 'method', 'classif', 'averag', 'accuraci', 'improv', '72', '63', '96', '25', 'sever', 'class', 'brain', 'tumor', 'glioma', 'achiev', '0', '769', '0', '837', '0', '833', '0', '80', 'valu', 'recal', 'specif', 'precis', 'f1', 'score', 'respect', 'propos', 'gener', 'model', 'framework', 'could', 'use', 'gener', 'medic', 'imag', 'domain', 'includ', 'pet', 'positron', 'emiss', 'tomographi', 'mri', 'scan', 'variou', 'part', 'bodi', 'result', 'show', 'could', 'use', 'clinic', 'tool', 'medic', 'expert', 'brain', 'tumor', 'classif', 'cancer', 'classif', 'convolut', 'neural', 'network', 'deep', 'learn', 'gener', 'adversari', 'network', 'glioma', 'meningioma', 'mri', 'pet', 'pituitari', 'radiolabel', 'pet', 'variat', 'autoencod']"
26,Cell site analysis; Changes to networks with time,Matthew Stephen Tart,May-22,"['Cell Site Analysis', 'Uncertainty', 'Digital Forensics', 'Opinion', 'Time delay']","Cell service areas may change over time as sites or cells are adjusted, decommissioned or introduced, and there may have been changes between the time of calls and the analysis undertaken. The manner in which survey data is used as part of an analysis is of particular relevance as the data gathered may not reflect the state of the network at the time of calls and thus potentially mislead. Overlaying “historic” data (potentially generated before the calls) with “targeted” surveys (usually generated after the calls) may enable an assessment of possible network changes, or whether additional cells may also have served at a given location at a previous time. This paper outlines a case in which there was a significant time gap between the analysis of call data records and the date on which they were generated.",https://pureportal.coventry.ac.uk/en/publications/cell-site-analysis-changes-to-networks-with-time,['https://pureportal.coventry.ac.uk/en/persons/matthew-stephen-tart'],"['cell', 'site', 'analysi', 'chang', 'network', 'time', 'matthew', 'stephen', 'tart', 'cell', 'servic', 'area', 'may', 'chang', 'time', 'site', 'cell', 'adjust', 'decommiss', 'introduc', 'may', 'chang', 'time', 'call', 'analysi', 'undertaken', 'manner', 'survey', 'data', 'use', 'part', 'analysi', 'particular', 'relev', 'data', 'gather', 'may', 'reflect', 'state', 'network', 'time', 'call', 'thu', 'potenti', 'mislead', 'overlay', 'histor', 'data', 'potenti', 'gener', 'call', 'target', 'survey', 'usual', 'gener', 'call', 'may', 'enabl', 'assess', 'possibl', 'network', 'chang', 'whether', 'addit', 'cell', 'may', 'also', 'serv', 'given', 'locat', 'previou', 'time', 'paper', 'outlin', 'case', 'signific', 'time', 'gap', 'analysi', 'call', 'data', 'record', 'date', 'gener', 'cell', 'site', 'analysi', 'uncertainti', 'digit', 'forens', 'opinion', 'time', 'delay']"
27,Characterising Alzheimers Disease with EEG-based Energy Landscape Analysis,"Dominik Klepl, Fei He, Min Wu, Matteo De Marco, Daniel Blackburn, Ptolemaios Georgios Sarrigiannis",01-Mar-22,"[""Alzheimer's disease"", 'EEG', 'Energy landscape', 'Machine learning', 'Maximum entropy model', 'Network']","Alzheimer's disease (AD) is one of the most common neurodegenerative diseases, with around 50 million patients worldwide. Accessible and non-invasive methods of diagnosing and characterising AD are therefore urgently required. Electroencephalography (EEG) fulfils these criteria and is often used when studying AD. Several features derived from EEG were shown to predict AD with high accuracy, e.g. signal complexity and synchronisation. However, the dynamics of how the brain transitions between stable states have not been properly studied in the case of AD and EEG. Energy landscape analysis is a method that can be used to quantify these dynamics. This work presents the first application of this method to both AD and EEG. Energy landscape assigns energy value to each possible state, i.e. pattern of activations across brain regions. The energy is inversely proportional to the probability of occurrence. By studying the features of energy landscapes of 20 AD patients and 20 age-matched healthy counterparts (HC), significant differences are found. The dynamics of AD patients' EEG are shown to be more constrained - with more local minima, less variation in basin size, and smaller basins. We show that energy landscapes can predict AD with high accuracy, performing significantly better than baseline models. Moreover, these findings are replicated in a separate dataset including 9 AD and 10 HC above 70 years old.",https://pureportal.coventry.ac.uk/en/publications/characterising-alzheimers-disease-with-eeg-based-energy-landscape-2,"['https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'https://pureportal.coventry.ac.uk/en/persons/fei-he', None, None, None, None]","['characteris', 'alzheim', 'diseas', 'eeg', 'base', 'energi', 'landscap', 'analysi', 'dominik', 'klepl', 'fei', 'min', 'wu', 'matteo', 'de', 'marco', 'daniel', 'blackburn', 'ptolemaio', 'georgio', 'sarrigianni', 'alzheim', 'diseas', 'ad', 'one', 'common', 'neurodegen', 'diseas', 'around', '50', 'million', 'patient', 'worldwid', 'access', 'non', 'invas', 'method', 'diagnos', 'characteris', 'ad', 'therefor', 'urgent', 'requir', 'electroencephalographi', 'eeg', 'fulfil', 'criteria', 'often', 'use', 'studi', 'ad', 'sever', 'featur', 'deriv', 'eeg', 'shown', 'predict', 'ad', 'high', 'accuraci', 'e', 'g', 'signal', 'complex', 'synchronis', 'howev', 'dynam', 'brain', 'transit', 'stabl', 'state', 'properli', 'studi', 'case', 'ad', 'eeg', 'energi', 'landscap', 'analysi', 'method', 'use', 'quantifi', 'dynam', 'work', 'present', 'first', 'applic', 'method', 'ad', 'eeg', 'energi', 'landscap', 'assign', 'energi', 'valu', 'possibl', 'state', 'e', 'pattern', 'activ', 'across', 'brain', 'region', 'energi', 'invers', 'proport', 'probabl', 'occurr', 'studi', 'featur', 'energi', 'landscap', '20', 'ad', 'patient', '20', 'age', 'match', 'healthi', 'counterpart', 'hc', 'signific', 'differ', 'found', 'dynam', 'ad', 'patient', 'eeg', 'shown', 'constrain', 'local', 'minima', 'less', 'variat', 'basin', 'size', 'smaller', 'basin', 'show', 'energi', 'landscap', 'predict', 'ad', 'high', 'accuraci', 'perform', 'significantli', 'better', 'baselin', 'model', 'moreov', 'find', 'replic', 'separ', 'dataset', 'includ', '9', 'ad', '10', 'hc', '70', 'year', 'old', 'alzheim', 'diseas', 'eeg', 'energi', 'landscap', 'machin', 'learn', 'maximum', 'entropi', 'model', 'network']"
28,"Clogs and Shawls: Mormons, Moorlands, and the Search for Zion",Alison Halford,31-Jan-22,[],,https://pureportal.coventry.ac.uk/en/publications/clogs-and-shawls-mormons-moorlands-and-the-search-for-zion,['https://pureportal.coventry.ac.uk/en/persons/alison-halford'],"['clog', 'shawl', 'mormon', 'moorland', 'search', 'zion', 'alison', 'halford']"
29,Comparative Graph-based Summarization of Scientific Papers Guided by Comparative Citations,"Jingqiang Chen, Chaoxiang Cai, Xiaorui Jiang, Kejia Chen",Oct-22,[],"With the rapid growth of scientific papers, understanding the changes and trends in a research area is rather time-consuming. The first challenge is to find related and comparable articlesfor the research. Comparative citations compare co-cited papers in a citation sentence and can serve as good guidance for researchers to track a research area. We thus go throughcomparative citations to find comparable objects and build a comparative scientific summarization corpus (CSSC). And then, we propose the comparative graph-based summarization(CGSUM) method to create comparative summaries using citations as guidance. The comparative graph is constructed using sentences as nodes and three different relationships of sentencesas edges. The relationship that sentences occur in the same paper is used to calculate the salience of sentences, the relationship that sentences occur in two different papers is used to calculate the difference between sentences, and the relationship that sentences are related to citations is used to calculate the commonality ofsentences. Experiments show that CGSUM outperformscomparative baselines on CSSC and performs well on DUC2006 and DUC2007.",https://pureportal.coventry.ac.uk/en/publications/comparative-graph-based-summarization-of-scientific-papers-guided,"[None, None, 'https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang', None]","['compar', 'graph', 'base', 'summar', 'scientif', 'paper', 'guid', 'compar', 'citat', 'jingqiang', 'chen', 'chaoxiang', 'cai', 'xiaorui', 'jiang', 'kejia', 'chen', 'rapid', 'growth', 'scientif', 'paper', 'understand', 'chang', 'trend', 'research', 'area', 'rather', 'time', 'consum', 'first', 'challeng', 'find', 'relat', 'compar', 'articlesfor', 'research', 'compar', 'citat', 'compar', 'co', 'cite', 'paper', 'citat', 'sentenc', 'serv', 'good', 'guidanc', 'research', 'track', 'research', 'area', 'thu', 'go', 'throughcompar', 'citat', 'find', 'compar', 'object', 'build', 'compar', 'scientif', 'summar', 'corpu', 'cssc', 'propos', 'compar', 'graph', 'base', 'summar', 'cgsum', 'method', 'creat', 'compar', 'summari', 'use', 'citat', 'guidanc', 'compar', 'graph', 'construct', 'use', 'sentenc', 'node', 'three', 'differ', 'relationship', 'sentencesa', 'edg', 'relationship', 'sentenc', 'occur', 'paper', 'use', 'calcul', 'salienc', 'sentenc', 'relationship', 'sentenc', 'occur', 'two', 'differ', 'paper', 'use', 'calcul', 'differ', 'sentenc', 'relationship', 'sentenc', 'relat', 'citat', 'use', 'calcul', 'common', 'ofsent', 'experi', 'show', 'cgsum', 'outperformscompar', 'baselin', 'cssc', 'perform', 'well', 'duc2006', 'duc2007']"
30,Comparing the Behaviour of Two Topic-Modelling Algorithms in COVID-19 Vaccination Tweets,"Jordan Thomas Bignell, Georgios Chantziplakis, Alireza Daneshkhah",Jan-22,[],"Coronavirus is a newly developed infectious disease that has triggered a pandemic due to its ease of transmission as of early 2020. Several groups from various countries have been working on a vaccine to prevent and avoid the spread of the virus in this outbreak. In this article, the main objective is to compare LDA against LSA to gain a better understanding of the Tweets and which Topic Modelling technique fits best for this task, additionally if the feedback of the Tweets were positive or negative sentiment. It was concluded that LDA was a better-unsupervised technique for categorizing the raw text in 12 topics.",https://pureportal.coventry.ac.uk/en/publications/comparing-the-behaviour-of-two-topic-modelling-algorithms-in-covi,"[None, None, 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']","['compar', 'behaviour', 'two', 'topic', 'model', 'algorithm', 'covid', '19', 'vaccin', 'tweet', 'jordan', 'thoma', 'bignel', 'georgio', 'chantziplaki', 'alireza', 'daneshkhah', 'coronaviru', 'newli', 'develop', 'infecti', 'diseas', 'trigger', 'pandem', 'due', 'eas', 'transmiss', 'earli', '2020', 'sever', 'group', 'variou', 'countri', 'work', 'vaccin', 'prevent', 'avoid', 'spread', 'viru', 'outbreak', 'articl', 'main', 'object', 'compar', 'lda', 'lsa', 'gain', 'better', 'understand', 'tweet', 'topic', 'model', 'techniqu', 'fit', 'best', 'task', 'addit', 'feedback', 'tweet', 'posit', 'neg', 'sentiment', 'conclud', 'lda', 'better', 'unsupervis', 'techniqu', 'categor', 'raw', 'text', '12', 'topic']"
31,Contextualised Segment-Wise Citation Function Classification,"Xiaorui Jiang, Jingqiang Chen",2022,"['Citation context analysis', 'citation function classification', 'deep learning', 'SciBERT']","Much effort has been made in the past decades to citation function classification. Noteworthy issues exist. Annotation difficulty made existing datasets quite limited in size, especially for minority classes, and quite limited in the representativeness of a scientific domain. Different annotation schemes made existing studies not easily mappable and comparable. Concerning algorithmic classification, state-of-the-art deep learning-based methods are flawed by generating a feature vector for the whole citation context (or sentence) and failing to exploit the full realm of citation modelling options. Responding to these issues, this paper studied contextualised citation function classification. Specifically, a large new citation context dataset was created by merging and re-annotating six datasets about computational linguistics. A variety of strong SciBERT-based citation function classification models were proposed. In addition to achieving the new state of the art of citation function classification, this study focused on deeper performance analysis of to answer several research questions about the effective ways of performing citation function classification, more specifically, the necessity of modelling in-text citations in context and doing citation function classification at citation (segment) level. A particular emphasis was placed on in-depth per-class performance analysis for the purpose of understanding whether citation function classification is robust enough for scientometric applications, what implications can be derived for the applicability of citation function classification to different scientometric analysis tasks, and what further efforts are required to meet such analytic needs. ",https://pureportal.coventry.ac.uk/en/publications/contextualised-segment-wise-citation-function-classification,"['https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang', None]","['contextualis', 'segment', 'wise', 'citat', 'function', 'classif', 'xiaorui', 'jiang', 'jingqiang', 'chen', 'much', 'effort', 'made', 'past', 'decad', 'citat', 'function', 'classif', 'noteworthi', 'issu', 'exist', 'annot', 'difficulti', 'made', 'exist', 'dataset', 'quit', 'limit', 'size', 'especi', 'minor', 'class', 'quit', 'limit', 'repres', 'scientif', 'domain', 'differ', 'annot', 'scheme', 'made', 'exist', 'studi', 'easili', 'mappabl', 'compar', 'concern', 'algorithm', 'classif', 'state', 'art', 'deep', 'learn', 'base', 'method', 'flaw', 'gener', 'featur', 'vector', 'whole', 'citat', 'context', 'sentenc', 'fail', 'exploit', 'full', 'realm', 'citat', 'model', 'option', 'respond', 'issu', 'paper', 'studi', 'contextualis', 'citat', 'function', 'classif', 'specif', 'larg', 'new', 'citat', 'context', 'dataset', 'creat', 'merg', 'annot', 'six', 'dataset', 'comput', 'linguist', 'varieti', 'strong', 'scibert', 'base', 'citat', 'function', 'classif', 'model', 'propos', 'addit', 'achiev', 'new', 'state', 'art', 'citat', 'function', 'classif', 'studi', 'focus', 'deeper', 'perform', 'analysi', 'answer', 'sever', 'research', 'question', 'effect', 'way', 'perform', 'citat', 'function', 'classif', 'specif', 'necess', 'model', 'text', 'citat', 'context', 'citat', 'function', 'classif', 'citat', 'segment', 'level', 'particular', 'emphasi', 'place', 'depth', 'per', 'class', 'perform', 'analysi', 'purpos', 'understand', 'whether', 'citat', 'function', 'classif', 'robust', 'enough', 'scientometr', 'applic', 'implic', 'deriv', 'applic', 'citat', 'function', 'classif', 'differ', 'scientometr', 'analysi', 'task', 'effort', 'requir', 'meet', 'analyt', 'need', 'citat', 'context', 'analysi', 'citat', 'function', 'classif', 'deep', 'learn', 'scibert']"
32,Convolution neural networks for pothole detection of critical road infrastructure,"Anup Kumar Pandey, Vasile Palade, Rahat Iqbal, Tomasz Maniak, Charalampos Karyotis, Stephen Akuma",Apr-22,"['Accelerometer data', 'Convolution neural networks', 'Crowdsource data', 'Highway maintenance', 'Pothole detection']","A well developed and maintained highway infrastructure is essential for the economic and social prosperity of modern societies. Highway maintenance poses significant challenges pertaining to the ever-increasing ongoing traffic, insufficient budget allocations and lack of resources. Road potholes detection and timely repair is a major contributing factor to sustaining a safe and resilient critical road infrastructure. Current pothole detection methods require laborious manual inspection of roads and lack in terms of accuracy and inference speed. This paper proposes a novel application of Convolutional Neural Networks on accelerometer data for pothole detection. Data is collected using an iOS smartphone installed on the dashboard of a car, running a dedicated application. The experimental results show that the proposed CNN approach has a significant advantage over the existing solutions, with respect to accuracy and computational complexity in pothole detection.",https://pureportal.coventry.ac.uk/en/publications/convolution-neural-networks-for-pothole-detection-of-critical-roa,"[None, 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade', None, None, None, None]","['convolut', 'neural', 'network', 'pothol', 'detect', 'critic', 'road', 'infrastructur', 'anup', 'kumar', 'pandey', 'vasil', 'palad', 'rahat', 'iqbal', 'tomasz', 'maniak', 'charalampo', 'karyoti', 'stephen', 'akuma', 'well', 'develop', 'maintain', 'highway', 'infrastructur', 'essenti', 'econom', 'social', 'prosper', 'modern', 'societi', 'highway', 'mainten', 'pose', 'signific', 'challeng', 'pertain', 'ever', 'increas', 'ongo', 'traffic', 'insuffici', 'budget', 'alloc', 'lack', 'resourc', 'road', 'pothol', 'detect', 'time', 'repair', 'major', 'contribut', 'factor', 'sustain', 'safe', 'resili', 'critic', 'road', 'infrastructur', 'current', 'pothol', 'detect', 'method', 'requir', 'labori', 'manual', 'inspect', 'road', 'lack', 'term', 'accuraci', 'infer', 'speed', 'paper', 'propos', 'novel', 'applic', 'convolut', 'neural', 'network', 'acceleromet', 'data', 'pothol', 'detect', 'data', 'collect', 'use', 'io', 'smartphon', 'instal', 'dashboard', 'car', 'run', 'dedic', 'applic', 'experiment', 'result', 'show', 'propos', 'cnn', 'approach', 'signific', 'advantag', 'exist', 'solut', 'respect', 'accuraci', 'comput', 'complex', 'pothol', 'detect', 'acceleromet', 'data', 'convolut', 'neural', 'network', 'crowdsourc', 'data', 'highway', 'mainten', 'pothol', 'detect']"
33,Data-driven dynamical modelling of a pathogen-infected plant gene regulatory network: A comparative analysis,"Mathias Foo, Leander Dony, Fei He",Sep-22,"['Data-driven modelling', 'Gene regulatory network', 'Linear model', 'Hill function model', 'S-System model', 'Synthetic biology']","Recent advances in synthetic biology have enabled the design of genetic feedback control circuits that could be implemented to build resilient plants against pathogen attacks. To facilitate the proper design of these genetic feedback control circuits, an accurate model that is able to capture the vital dynamical behaviour of the pathogen-infected plant is required. In this study, using a data-driven modelling approach, we develop and compare four dynamical models (i.e. linear, Michaelis-Menten with Hill coefficient (Hill Function), standard S-System and extended S-System) of a pathogen-infected plant gene regulatory network (GRN). These models are then assessed across several criteria, i.e. ease of identifying the type of gene regulation, the predictive capability, Akaike Information Criterion (AIC) and the robustness to parameter uncertainty to determine its viability of balancing between biological complexity and accuracy when modelling the pathogen-infected plant GRN. Using our defined ranking score, we obtain the following insights to the modelling of GRN. Our analyses show that despite commonly used and provide biological relevance, the Hill Function model ranks the lowest while the extended S-System model ranks highest in the overall comparison. Interestingly, the performance of the linear model is more consistent throughout the comparison, making it the preferred model for this pathogen-infected plant GRN when considering data-driven modelling approach.",https://pureportal.coventry.ac.uk/en/publications/data-driven-dynamical-modelling-of-a-pathogen-infected-plant-gene,"[None, None, 'https://pureportal.coventry.ac.uk/en/persons/fei-he']","['data', 'driven', 'dynam', 'model', 'pathogen', 'infect', 'plant', 'gene', 'regulatori', 'network', 'compar', 'analysi', 'mathia', 'foo', 'leander', 'doni', 'fei', 'recent', 'advanc', 'synthet', 'biolog', 'enabl', 'design', 'genet', 'feedback', 'control', 'circuit', 'could', 'implement', 'build', 'resili', 'plant', 'pathogen', 'attack', 'facilit', 'proper', 'design', 'genet', 'feedback', 'control', 'circuit', 'accur', 'model', 'abl', 'captur', 'vital', 'dynam', 'behaviour', 'pathogen', 'infect', 'plant', 'requir', 'studi', 'use', 'data', 'driven', 'model', 'approach', 'develop', 'compar', 'four', 'dynam', 'model', 'e', 'linear', 'micha', 'menten', 'hill', 'coeffici', 'hill', 'function', 'standard', 'system', 'extend', 'system', 'pathogen', 'infect', 'plant', 'gene', 'regulatori', 'network', 'grn', 'model', 'assess', 'across', 'sever', 'criteria', 'e', 'eas', 'identifi', 'type', 'gene', 'regul', 'predict', 'capabl', 'akaik', 'inform', 'criterion', 'aic', 'robust', 'paramet', 'uncertainti', 'determin', 'viabil', 'balanc', 'biolog', 'complex', 'accuraci', 'model', 'pathogen', 'infect', 'plant', 'grn', 'use', 'defin', 'rank', 'score', 'obtain', 'follow', 'insight', 'model', 'grn', 'analys', 'show', 'despit', 'commonli', 'use', 'provid', 'biolog', 'relev', 'hill', 'function', 'model', 'rank', 'lowest', 'extend', 'system', 'model', 'rank', 'highest', 'overal', 'comparison', 'interestingli', 'perform', 'linear', 'model', 'consist', 'throughout', 'comparison', 'make', 'prefer', 'model', 'pathogen', 'infect', 'plant', 'grn', 'consid', 'data', 'driven', 'model', 'approach', 'data', 'driven', 'model', 'gene', 'regulatori', 'network', 'linear', 'model', 'hill', 'function', 'model', 'system', 'model', 'synthet', 'biolog']"
